WKT;rasterval
LINESTRING (16.2229 48.2123,16.2231 48.2117,16.2245 48.2105);Mauerbachstraße
LINESTRING (16.2229 48.2124,16.2229 48.2123);Mauerbachbrücke
LINESTRING (16.2231 48.2136,16.2233 48.2129,16.2229 48.2124);Mauerbachstraße
LINESTRING (16.2232 48.2054,16.223 48.2052);Holzhausenplatz
LINESTRING (16.2236 48.2045,16.223 48.2045);Westautobahn
LINESTRING (16.2231 48.2043,16.2237 48.2044);Westautobahn
LINESTRING (16.2231 48.2136,16.2243 48.214);Cottagestraße
LINESTRING (16.2233 48.2081,16.2231 48.2078);Dr.-Karl-Lueger-Brücke
LINESTRING (16.2242 48.2057,16.2233 48.2055,16.2231 48.2049);Holzhausenplatz
LINESTRING (16.2233 48.1531,16.2232 48.1531);Gütenbachtorbrücke
LINESTRING (16.2233 48.1535,16.2232 48.1535);Gütenbachsteg
LINESTRING (16.224 48.209,16.2233 48.2081);Badgasse
LINESTRING (16.2233 48.136,16.224 48.1363);Zangerlestraße
LINESTRING (16.227 48.1513,16.2249 48.1528,16.2233 48.1531);Gütenbachstraße
LINESTRING (16.2238 48.2174,16.2235 48.2167,16.2244 48.2151);Stinglgasse
LINESTRING (16.2307 48.2043,16.2299 48.2046,16.2286 48.2048,16.2236 48.2045);Westautobahn
LINESTRING (16.2237 48.2044,16.2286 48.2047,16.2298 48.2045,16.2306 48.2043);Westautobahn
LINESTRING (16.2317 48.1785,16.2314 48.1788,16.2305 48.1786,16.2303 48.1785,16.2294 48.1788,16.228 48.1787,16.2263 48.1795,16.2237 48.1851);Rohrhausstraße
LINESTRING (16.2237 48.1851,16.2257 48.1872,16.2269 48.1881,16.2278 48.1884,16.2294 48.1884);Stegtorstraße
LINESTRING (16.2238 48.2174,16.2249 48.2172);Salzwiesengasse
LINESTRING (16.2239 48.216,16.2304 48.2161);Viktor-Hagl-Gasse
LINESTRING (16.2276 48.2077,16.224 48.209);Hauptstraße
LINESTRING (16.2249 48.2101,16.224 48.209);Badgasse
LINESTRING (16.224 48.1363,16.2246 48.1366,16.2272 48.137,16.2273 48.1367,16.2337 48.1369,16.2344 48.1368,16.2361 48.137);Zangerlestraße
LINESTRING (16.2248 48.2104,16.2242 48.2104);Erich-Arth-Steg
LINESTRING (16.227 48.2132,16.2243 48.214);Anzengruberstraße
LINESTRING (16.2243 48.214,16.2254 48.2149,16.2253 48.2151);Cottagestraße
LINESTRING (16.2244 48.2151,16.2253 48.2151);Mastnygasse
LINESTRING (16.2245 48.2105,16.2248 48.2101);Mauerbachstraße
LINESTRING (16.2247 48.2143,16.2278 48.2141);Ferdinand-Frey-Weg
LINESTRING (16.2253 48.2151,16.2247 48.2164,16.2249 48.2172);Franz-Schubert-Straße
LINESTRING (16.2248 48.2101,16.2249 48.2101);Mauerbachstraße
LINESTRING (16.2248 48.2132,16.2263 48.2126);Myrbachgasse
LINESTRING (16.2249 48.2101,16.2271 48.2081);Mauerbachstraße
LINESTRING (16.2279 48.2096,16.2264 48.21,16.2249 48.2101);Josef-Prokop-Straße
LINESTRING (16.2253 48.2172,16.227 48.2169);Salzwiesengasse
LINESTRING (16.2253 48.2151,16.2278 48.2151);Cottagestraße
LINESTRING (16.2261 48.2135,16.2256 48.2129);Obermaissergasse
LINESTRING (16.2257 48.2105,16.228 48.21);Bahnstraße
LINESTRING (16.226 48.2111,16.2257 48.2105);Hamerlinggasse
LINESTRING (16.2262 48.2121,16.2263 48.2126,16.227 48.2132);Hüttergasse
LINESTRING (16.2262 48.2035,16.2288 48.2035);Wientalstraße
LINESTRING (16.2279 48.2096,16.2263 48.2088);Nestroygasse
LINESTRING (16.2276 48.2183,16.2267 48.2185);Nördliche Randstraße
LINESTRING (16.2273 48.2112,16.2268 48.2103);Wiesengasse
LINESTRING (16.2274 48.2077,16.2269 48.2072);Pfarrgasse
LINESTRING (16.2292 48.2126,16.227 48.2132);Anzengruberstraße
LINESTRING (16.227 48.2132,16.2278 48.214,16.2278 48.2151);Hüttergasse
LINESTRING (16.227 48.2169,16.2277 48.2164);Hüttergasse
LINESTRING (16.2277 48.2172,16.227 48.2169);Schöffelplatz
LINESTRING (16.2272 48.1512,16.227 48.1513);Gütenbachstraße
LINESTRING (16.2276 48.2077,16.2271 48.2081);Mauerbachstraße
LINESTRING (16.2294 48.1493,16.229 48.15,16.2272 48.1512);Gütenbachstraße
LINESTRING (16.2302 48.2096,16.2289 48.2108,16.2282 48.2106,16.2273 48.2112);Schleusenstraße
LINESTRING (16.2277 48.2172,16.2276 48.2184);Hüttergasse
LINESTRING (16.2311 48.2078,16.2276 48.2077);Hauptstraße
LINESTRING (16.2278 48.2151,16.2277 48.2164);Hüttergasse
LINESTRING (16.2277 48.2164,16.2283 48.2167);Schöffelplatz
LINESTRING (16.2283 48.2167,16.2277 48.2172);Schöffelplatz
LINESTRING (16.2277 48.1367,16.2279 48.1372,16.2283 48.1373,16.2312 48.1374,16.232 48.1368);Brachtlgasse
LINESTRING (16.2278 48.2151,16.2305 48.2152);Cottagestraße
LINESTRING (16.2278 48.2145,16.2304 48.2145);Ferdinand-Frey-Weg
LINESTRING (16.2283 48.2167,16.2304 48.2168);Salzwiesengasse
LINESTRING (16.2287 48.2181,16.2287 48.2176,16.2306 48.2174,16.2306 48.2168);Drapal-Pintar-Weg
LINESTRING (16.2288 48.2035,16.2313 48.2035,16.2327 48.2029);Wientalstraße
LINESTRING (16.2294 48.2125,16.2292 48.2126);Anzengruberbrücke
LINESTRING (16.2293 48.1273,16.2314 48.1281,16.2337 48.1295,16.2384 48.1309,16.2413 48.131,16.2435 48.1316,16.2482 48.1318,16.2498 48.1315,16.2516 48.1307,16.2528 48.1303,16.255 48.1302);Kaltenleutgebner Straße
LINESTRING (16.2335 48.2112,16.2294 48.2125);Anzengruberstraße
LINESTRING (16.231 48.1479,16.2299 48.1487,16.2294 48.1493);Gütenbachstraße
LINESTRING (16.2294 48.1884,16.2298 48.1884);Wegschüttbrücke
LINESTRING (16.2297 48.1378,16.2297 48.1379);Bohattaweg
LINESTRING (16.2298 48.1368,16.2297 48.1377);Bohattaweg
LINESTRING (16.2297 48.1377,16.2297 48.1378);Bohattasteg
LINESTRING (16.2298 48.1884,16.2301 48.1885,16.231 48.1896,16.232 48.19,16.2325 48.1905,16.2352 48.1917,16.2378 48.1942,16.2383 48.1949);Stegtorstraße
LINESTRING (16.2302 48.2095,16.2302 48.2096);Schleusenstraße
LINESTRING (16.2304 48.2095,16.2302 48.2095);Josef-Harrer-Brücke
LINESTRING (16.2303 48.1609,16.2304 48.1609);Schlossergassl
LINESTRING (16.2305 48.2093,16.2304 48.2095);Schleusenstraße
LINESTRING (16.2304 48.2168,16.2305 48.2152);Korngoldgasse
LINESTRING (16.2304 48.2168,16.2306 48.2168);Salzwiesengasse
LINESTRING (16.2305 48.2152,16.2304 48.2145);Korngoldgasse
LINESTRING (16.2304 48.1609,16.2307 48.1609);Stockwiesenbrücke
LINESTRING (16.2305 48.2153,16.2311 48.2154);Cottagestraße
LINESTRING (16.2327 48.2031,16.2311 48.2051,16.2305 48.2056);Wientalstraße
LINESTRING (16.2306 48.2093,16.2305 48.2093);Schleusenstraße
LINESTRING (16.2306 48.2043,16.2307 48.2042);Westautobahn
LINESTRING (16.2308 48.2091,16.2306 48.2093);Schleusenstraße
LINESTRING (16.2306 48.2122,16.2317 48.2096);Jägerstätterstraße
LINESTRING (16.2306 48.2466,16.2308 48.2466);Sofienalpenstraße
LINESTRING (16.2308 48.2042,16.2307 48.2043);Westautobahn
