WKT,zuordnung_,
"LINESTRING (16.212128007217412 48.201020907905821,16.214455907222579 48.20221180790795,16.216315807226714 48.202934607909214)",Westautobahn
"LINESTRING (16.212291107217627 48.210748507925835,16.213457907220228 48.21082190792584)",Lorenz-Stein-Straße
"LINESTRING (16.212532007218403 48.194814607893001,16.212498707218334 48.194698607892747)",Klangbrücke
"LINESTRING (16.225957707248192 48.201775307905521,16.220565807236213 48.200494007903622,16.218862707232422 48.199956707902736,16.2176743072298 48.198625707900163,16.21612560722636 48.197902007898847,16.213522207220592 48.196311307895918,16.213352007220212 48.195821307894931,16.212532007218403 48.194814607893001)",Pulverstampfstraße
"LINESTRING (16.212594507218327 48.209193107922587,16.212742007218658 48.208546307921246)",Hofjägerstraße
"LINESTRING (16.212594507218327 48.209193107922587,16.213329307219958 48.209266707922637)",Josef-Palme-Platz
"LINESTRING (16.214474207222501 48.209511607922991,16.214063007221579 48.209724407923488,16.213982407221401 48.209979807924014,16.212728707218613 48.210254607924767)",Herzmanskystraße
"LINESTRING (16.212742007218658 48.208546307921246,16.212889607219012 48.207521307919123,16.214167907221874 48.20662780791708)",Hofjägerstraße
"LINESTRING (16.214167907221874 48.20662780791708,16.214806807223304 48.206282107916287,16.214702807223066 48.206478807916724,16.214167907221874 48.20662780791708)",Hofjägerstraße
"LINESTRING (16.214848607223345 48.208742507921372,16.213472407220284 48.209011507922085,16.212742007218658 48.208546307921246)",Wiengasse
"LINESTRING (16.213329307219958 48.209266707922637,16.214875107223406 48.208866107921615,16.218128607230657 48.208870507921191,16.219587007233898 48.208659107920575,16.220949407236951 48.208125207919288,16.221820407238898 48.207220507917299)",Wientalstraße
"LINESTRING (16.213587907220536 48.209388207922856,16.213329307219958 48.209266707922637)",Hauptstraße
"LINESTRING (16.213449007220266 48.207126107918221,16.214359307222278 48.207612907919092,16.214691707223025 48.207352807918532)",Ernst-Burger-Gasse
"LINESTRING (16.213457907220228 48.21082190792584,16.217144007228438 48.210777507925265)",Lorenz-Stein-Straße
"LINESTRING (16.213491807220652 48.187554607877885,16.213833307221428 48.186884807876467,16.215476707225104 48.18579900787401)",Pulverstampfstraße
"LINESTRING (16.214294307222108 48.209492407922994,16.213587907220536 48.209388207922856)",Kielmannseggbrücke
"LINESTRING (16.213912607222003 48.159375707819713,16.214293207222855 48.158773407818444,16.219638707234797 48.155726107811468)",Gütenbachstraße
"LINESTRING (16.213912607222003 48.159375707819713,16.214042807222292 48.159382707819738)",Elisabethbrücke
"LINESTRING (16.214040907220973 48.244488707995068,16.215505207224222 48.245636307997223,16.217414507228458 48.246225007998177,16.219648107233422 48.247413508000335,16.220005207234191 48.248156508001784,16.219340507232705 48.249024208003689)",Roßkopfgasse
"LINESTRING (16.214042807222292 48.159382707819738,16.216639307228075 48.158907807818387,16.217494807229993 48.158309807817055,16.218664007232604 48.157743007815732,16.21914770723367 48.157675407815539,16.221084507237979 48.158246907816469,16.223459207243259 48.158519807816717,16.22677020725061 48.160294807819945,16.230267607258376 48.160878207820673)",Schlossergassl
"LINESTRING (16.214474207222501 48.209511607922991,16.214294307222108 48.209492407922994)",Hauptstraße
"LINESTRING (16.217235907228645 48.210102807923839,16.215650607225125 48.209591107922982,16.214474207222501 48.209511607922991)",Hauptstraße
"LINESTRING (16.215924007225777 48.206784607917157,16.215038507223809 48.206883207917521,16.21455690722274 48.206529007916856)",Richard-Kuhn-Weg
"LINESTRING (16.214731507223132 48.206233707916205,16.21552970722492 48.205696707915017,16.218814907232247 48.204482307912059)",Hofjägerstraße
"LINESTRING (16.219815507233804 48.246659907998783,16.219901307233993 48.246431207998278,16.217622107228944 48.244942707995527,16.217601807228895 48.244774907995179,16.218674007231307 48.24381910799309,16.218666007231288 48.243641107992701,16.217707007229155 48.243354207992226,16.216814807227177 48.243313807992266,16.215810807224933 48.243546307992879,16.214859107222821 48.243164507992212,16.214837307222773 48.242847407991576,16.215918807225187 48.242944507991659,16.217102807227821 48.242740407991064,16.220673207235784 48.242508007990104,16.220830607236124 48.242592407990252,16.22075170723593 48.244192007993526,16.221570607237741 48.244405607993883,16.222607207240053 48.244276307993488,16.222793907240469 48.244365107993637,16.22295170724081 48.245022407994973,16.223781107242655 48.245527507995902,16.225700907246917 48.245764107996152,16.228874407253972 48.246840507997916,16.229381607255089 48.246885207997948,16.230606407257831 48.246574007997154)",Sofienalpenstraße
"LINESTRING (16.215421507224594 48.211546507927061,16.215534407224826 48.212043107928075)",Dr.-Heinrich-Müller-Gasse
"LINESTRING (16.218383107230583 48.248374208002467,16.215453707224082 48.247155308000373,16.21554810722429 48.246966607999951,16.216977607227477 48.246748407999341,16.216866107227244 48.245993907997772)",Hainbachgasse
"LINESTRING (16.218780107231471 48.248471208002634,16.219015707231996 48.247959108001524,16.218338107230494 48.247378808000448,16.216304607225982 48.246325907998553,16.215618107224454 48.246348707998671)",Laskywiesengasse
"LINESTRING (16.218140207231091 48.181757007865315,16.217238207229101 48.180924707863724,16.215651207225569 48.180377407862814)",Pulverstampfstraße
"LINESTRING (16.21573760722568 48.185732507873809,16.217108907228745 48.185347507872848,16.219019307233005 48.184487107870837,16.219208207233432 48.184206007870252,16.219128107233281 48.182403707866534,16.218184607231187 48.181807507865408)",Pulverstampfstraße
"LINESTRING (16.215924007225777 48.206784607917157,16.219460807233652 48.206149807915409)",Zimbagasse
"LINESTRING (16.216366807226752 48.207905507919449,16.215924007225777 48.206784607917157)",Wolfgang-Pauli-Gasse
"LINESTRING (16.216315807226714 48.202934607909214,16.218531007231636 48.203575407910236)",Westautobahn
"LINESTRING (16.21955590723385 48.20740000791799,16.216366807226752 48.207905507919449)",Albert-Schweitzer-Gasse
"LINESTRING (16.216684207227402 48.211370007926526,16.217618307229483 48.211142107925951)",Loudonstraße
"LINESTRING (16.219347607233317 48.212261007928007,16.216684207227402 48.211370007926526)",Buchbergstraße
"LINESTRING (16.218511707231446 48.212670507928962,16.217545307229294 48.213022907929805,16.216855107227758 48.213082007930019)",Erdburgweg
"LINESTRING (16.217144007228438 48.210777507925265,16.222265207239843 48.21068500792439)",Bahnstraße
"LINESTRING (16.217175707228527 48.209263007922111,16.217155407228489 48.20899110792157)",Ha-Wei-Brücke
"LINESTRING (16.217798507229912 48.209335807922187,16.217209407228609 48.209323507922257,16.217235907228645 48.210102807923839)",Bahnstraße
"LINESTRING (16.223996607243716 48.208993607920661,16.222992507241482 48.209321307921471,16.221325007237763 48.209459907921989,16.218087207230543 48.210154607923833,16.217235907228645 48.210102807923839)",Hauptstraße
"LINESTRING (16.217235907228645 48.210102807923839,16.217270807228719 48.210552307924772)",Bahnstraße
"LINESTRING (16.217270807228719 48.210552307924772,16.22002050723485 48.210325307923924)",Josef-Prokop-Straße
"LINESTRING (16.217579307229407 48.210564407924771,16.217619507229493 48.21093310792552)",Loudonsteg
"LINESTRING (16.217618307229483 48.211142107925951,16.219891107234552 48.210913607925178,16.220054607234911 48.210795607924901)",Loudonstraße
"LINESTRING (16.218184607231187 48.181807507865408,16.218140207231091 48.181757007865315)",Stadlbodenbrücke
"LINESTRING (16.218565389199764 48.123955782751729,16.218570307232842 48.123958107746034)",Kaltenleutgebner Straße
"LINESTRING (16.219347607233317 48.212261007928007,16.218511707231446 48.212670507928962)",Erdburgweg
"LINESTRING (16.218531007231636 48.203575407910236,16.220455707235907 48.203985207910819)",Westautobahn
"LINESTRING (16.218570307232842 48.123958107746034,16.221007207238248 48.124755607747353)",Kaltenleutgebner Straße
"LINESTRING (16.219340507232705 48.249024208003689,16.219042607232048 48.249091808003861,16.218780107231471 48.248471208002634)",Hainbachgasse
"LINESTRING (16.218786607232072 48.2115862079267,16.219897707234551 48.211772907926949,16.220038807234872 48.211329907926007,16.221100107237238 48.211095207925354)",Dr.-Heckmann-Straße
"LINESTRING (16.219243607233206 48.204326907911693,16.218814907232247 48.204482307912059)",Hofjägerstraße
"LINESTRING (16.219056507232807 48.203119307909212,16.218862707232422 48.199956707902736)",Magazinstraße
"LINESTRING (16.219019307233005 48.184487107870837,16.22062010723657 48.18446310787057,16.22321310724233 48.184863807871054,16.223745207243525 48.185149907871576)",Roten Ziegelstraße
"LINESTRING (16.219460807233652 48.206149807915409,16.219304807233346 48.204423207911887)",Johann-Schorsch-Gasse
"LINESTRING (16.219773707234395 48.204124007911211,16.219243607233206 48.204326907911693)",Hofjägerstraße
"LINESTRING (16.221422407238062 48.204565107911897,16.219776107234392 48.204305807911581,16.219304807233346 48.204423207911887)",Johann-Schorsch-Gasse
"LINESTRING (16.220501007235985 48.20609480791515,16.219460807233652 48.206149807915409)",Jacobsgasse
"LINESTRING (16.219460807233652 48.206149807915409,16.21955590723385 48.20740000791799)",Johann-Schorsch-Gasse
"LINESTRING (16.221820407238898 48.207220507917299,16.21955590723385 48.20740000791799)",Albert-Schweitzer-Gasse
"LINESTRING (16.219633507233887 48.216740607937197,16.219909507234501 48.216237807936132)",Mauerbachstraße
"LINESTRING (16.219638707234797 48.155726107811468,16.219804907235165 48.155624907811202)",Gütenbachbrücke 1
"LINESTRING (16.219703907233551 48.24669420799885,16.219815507233804 48.246659907998783)",Sofienalpenstraße
"LINESTRING (16.219804907235165 48.155624907811202,16.221391307238711 48.154375907808429)",Gütenbachstraße
"LINESTRING (16.221035607237084 48.211915407927073,16.219897707234551 48.211772907926949)",Dr.-Heckmann-Straße
"LINESTRING (16.219909507234501 48.216237807936132,16.22123840723749 48.214903407933178,16.223077407241604 48.213621107930301)",Mauerbachstraße
"LINESTRING (16.22002050723485 48.210325307923924,16.22217660723965 48.210158707923313)",Josef-Prokop-Straße
"LINESTRING (16.220378607235638 48.210783907924849,16.221893507238985 48.211654007926434)",Postgasse
"LINESTRING (16.220455707235907 48.203985207910819,16.223063607241713 48.204342207911225)",Westautobahn
"LINESTRING (16.220501007235985 48.20609480791515,16.222190907239742 48.206044407914838)",Jacobsgasse
"LINESTRING (16.220571007236117 48.207275507917579,16.220501007235985 48.20609480791515)",Scheringgasse
"LINESTRING (16.221081195221085 48.137124439354871,16.221426407239022 48.13709400777276)",Hauptstraße
"LINESTRING (16.232588707262941 48.202613807906388,16.232160607261974 48.203076207907401,16.2290652072551 48.202514907906632,16.228080207252916 48.202492507906747,16.225906707248086 48.201910907905827,16.221102207237347 48.203802607910376,16.220573607236183 48.20383730791049)",Hofjägerstraße
"LINESTRING (16.220735442775883 48.135903901789973,16.223318607243243 48.13601540777028)",Zangerlestraße
"LINESTRING (16.221007207238248 48.124755607747353,16.224209107245361 48.125066307747574,16.225406307248026 48.125504507748332,16.227393507252433 48.12667430775047,16.229305207256679 48.127337807751601)",Kaltenleutgebner Straße
"LINESTRING (16.221391307238711 48.154375907808429,16.22155000723907 48.154226807808094)",Gütenbachbrücke 2
"LINESTRING (16.222956607241457 48.205151507912888,16.222502107240452 48.204845807912335,16.221422407238062 48.204565107911897)",Johann-Schorsch-Gasse
"LINESTRING (16.221422407238062 48.204565107911897,16.223215407242048 48.204654707911807)",Johann-Schorsch-Gasse
"LINESTRING (16.221426407239022 48.13709400777276,16.222821907242132 48.136967307772338,16.223996707244741 48.137065707772379,16.228634707255047 48.1378559077734,16.230153507258429 48.137958107773386,16.237176107274045 48.138151207772886,16.239694407279647 48.137847307771906)",Breitenfurter Straße
"LINESTRING (16.221464607238026 48.212631407928477,16.222833807241077 48.212226407927488)",Parkgasse
"LINESTRING (16.22155000723907 48.154226807808094,16.222490307241177 48.153403407806273)",Gütenbachstraße
"LINESTRING (16.221798307238807 48.210715207924494,16.221893507238985 48.211654007926434)",Kunersdorfgasse
"LINESTRING (16.221820407238898 48.207220507917299,16.222073007239477 48.206738107916301)",Wientalstraße
"LINESTRING (16.222774607241021 48.207432407917615,16.221820407238898 48.207220507917299)",Albert-Schweitzer-Gasse
"LINESTRING (16.221893507238985 48.211654007926434,16.222258107239799 48.212039407927172)",Postgasse
"LINESTRING (16.222073007239477 48.206738107916301,16.223697807243134 48.204003207910418,16.224641707245237 48.203540507909352,16.226185307248674 48.203456807908992)",Wientalstraße
"LINESTRING (16.230480507258203 48.205565907912742,16.229336307255654 48.205801007913379,16.224164907244148 48.205664207913784,16.222853007241216 48.206024507914698,16.222073007239477 48.206738107916301)",Wientalstraße
"LINESTRING (16.22217660723965 48.210158707923313,16.222119307239534 48.209382407921716)",Pevetzgasse
"LINESTRING (16.224404107244609 48.210106307922899,16.22217660723965 48.210158707923313)",Josef-Prokop-Straße
"LINESTRING (16.222258107239799 48.212039407927172,16.222833807241077 48.212226407927488)",Postgasse
"LINESTRING (16.222265207239843 48.21068500792439,16.225746507247589 48.210502307923548)",Bahnstraße
"LINESTRING (16.222490307241177 48.153403407806273,16.222483253269633 48.153268323660392)",Gütenbachstraße
"LINESTRING (16.222986207241448 48.210645207924195,16.223002207241468 48.2108891079247,16.222673307240736 48.211143907925276)",Gartengasse
"LINESTRING (16.223078607241696 48.207776307918273,16.222774607241021 48.207432407917615)",Albert-Schweitzer-Gasse
"LINESTRING (16.222858507241138 48.212285107927606,16.223105907241692 48.211741107926443,16.224455307244714 48.210450707923606)",Mauerbachstraße
"LINESTRING (16.222944307241324 48.212422307927859,16.222858507241138 48.212285107927606)",Mauerbachbrücke
"LINESTRING (16.223077407241604 48.213621107930301,16.223292607242087 48.212863007928732,16.222944307241324 48.212422307927859)",Mauerbachstraße
"LINESTRING (16.223187307241972 48.205387407913342,16.222956607241457 48.205151507912888)",Holzhausenplatz
"LINESTRING (16.223622807242958 48.204523607911526,16.222985507241535 48.204458607911469)",Westautobahn
"LINESTRING (16.223063607241713 48.204342207911225,16.223703807243137 48.20440930791127)",Westautobahn
"LINESTRING (16.223077407241604 48.213621107930301,16.224313407244349 48.214039307931003)",Cottagestraße
"LINESTRING (16.223284707242151 48.208109207918945,16.223078607241696 48.207776307918273)",Dr.-Karl-Lueger-Brücke
"LINESTRING (16.224164907244148 48.205664207913784,16.223284607242185 48.205476107913498,16.223096407241776 48.204887707912341)",Holzhausenplatz
"LINESTRING (16.223336907243059 48.153108707805586,16.223209898698471 48.153119924687466)",Gütenbachtorbrücke
"LINESTRING (16.223306907242989 48.153476907806336,16.223163307242668 48.153508307806412)",Gütenbachsteg
"LINESTRING (16.223996607243716 48.208993607920661,16.223284707242151 48.208109207918945)",Badgasse
"LINESTRING (16.223318607243243 48.13601540777028,16.224019207244808 48.136320007770834)",Zangerlestraße
"LINESTRING (16.227049607251349 48.151274707801278,16.224914607246578 48.152808107804724,16.223336907243059 48.153108707805586)",Gütenbachstraße
"LINESTRING (16.22382980724322 48.217410207938038,16.223548507242604 48.216748607936694,16.224373307244466 48.215103707933189)",Stinglgasse
"LINESTRING (16.230655907258612 48.204320607910148,16.229894707256918 48.204607007910838,16.22857260725397 48.20478230791138,16.223622807242958 48.204523607911526)",Westautobahn
"LINESTRING (16.223703807243137 48.20440930791127,16.228572607253973 48.204676907911157,16.229833307256783 48.204530207910686,16.230581207258446 48.204254807910033)",Westautobahn
"LINESTRING (16.231739107261397 48.178489007856797,16.231389207260616 48.178754407857404,16.23046540725856 48.178645807857293,16.230333607258281 48.178492807856976,16.229430507256261 48.178832507857798,16.228036407253164 48.178726607857762,16.226329507249357 48.179509307859604,16.223745207243525 48.185149907871576)",Rohrhausstraße
"LINESTRING (16.223745207243525 48.185149907871576,16.225662307247759 48.187164007875474,16.226872507250434 48.188119707877277,16.227765107252416 48.188365707877658,16.229447407256156 48.18842870787757)",Stegtorstraße
"LINESTRING (16.22382980724322 48.217410207938038,16.224903107245606 48.217245507937527)",Salzwiesengasse
